 cms_help                                | category_id
 cms_help                                | content
 cms_help                                | create_time
 cms_help                                | icon
 cms_help                                | id
 cms_help                                | read_count
 cms_help                                | show_status
 cms_help                                | title
 cms_help_category                       | help_count
 cms_help_category                       | icon
 cms_help_category                       | id
 cms_help_category                       | name
 cms_help_category                       | show_status
 cms_help_category                       | sort
 cms_member_report                       | create_time
 cms_member_report                       | handle_status
 cms_member_report                       | id
 cms_member_report                       | note
 cms_member_report                       | report_member_name
 cms_member_report                       | report_object
 cms_member_report                       | report_status
 cms_member_report                       | report_type
 cms_prefrence_area                      | id
 cms_prefrence_area                      | name
 cms_prefrence_area                      | show_status
 cms_prefrence_area                      | sort
 cms_prefrence_area                      | sub_title
 cms_prefrence_area_product_relation     | id
 cms_prefrence_area_product_relation     | prefrence_area_id
 cms_prefrence_area_product_relation     | product_id
 cms_subject                             | album_pics
 cms_subject                             | category_id
 cms_subject                             | category_name
 cms_subject                             | collect_count
 cms_subject                             | comment_count
 cms_subject                             | content
 cms_subject                             | create_time
 cms_subject                             | description
 cms_subject                             | forward_count
 cms_subject                             | id
 cms_subject                             | pic
 cms_subject                             | product_count
 cms_subject                             | read_count
 cms_subject                             | recommend_status
 cms_subject                             | show_status
 cms_subject                             | title
 cms_subject_category                    | icon
 cms_subject_category                    | id
 cms_subject_category                    | name
 cms_subject_category                    | show_status
 cms_subject_category                    | sort
 cms_subject_category                    | subject_count
 cms_subject_comment                     | content
 cms_subject_comment                     | create_time
 cms_subject_comment                     | id
 cms_subject_comment                     | member_icon
 cms_subject_comment                     | member_nick_name
 cms_subject_comment                     | show_status
 cms_subject_comment                     | subject_id
 cms_subject_product_relation            | id
 cms_subject_product_relation            | product_id
 cms_subject_product_relation            | subject_id
 cms_topic                               | attend_count
 cms_topic                               | attend_type
 cms_topic                               | attention_count
 cms_topic                               | award_name
 cms_topic                               | category_id
 cms_topic                               | content
 cms_topic                               | create_time
 cms_topic                               | end_time
 cms_topic                               | id
 cms_topic                               | name
 cms_topic                               | read_count
 cms_topic                               | start_time
 cms_topic_category                      | icon
 cms_topic_category                      | id
 cms_topic_category                      | name
 cms_topic_category                      | show_status
 cms_topic_category                      | sort
 cms_topic_category                      | subject_count
 cms_topic_comment                       | content
 cms_topic_comment                       | create_time
 cms_topic_comment                       | id
 cms_topic_comment                       | member_icon
 cms_topic_comment                       | member_nick_name
 cms_topic_comment                       | show_status
 cms_topic_comment                       | topic_id
 flyway_schema_history                   | checksum
 flyway_schema_history                   | description
 flyway_schema_history                   | execution_time
 flyway_schema_history                   | installed_by
 flyway_schema_history                   | installed_on
 flyway_schema_history                   | installed_rank
 flyway_schema_history                   | script
 flyway_schema_history                   | success
 flyway_schema_history                   | type
 flyway_schema_history                   | version
 oms_cart_item                           | create_date
 oms_cart_item                           | delete_status
 oms_cart_item                           | id
 oms_cart_item                           | member_id
 oms_cart_item                           | member_nickname
 oms_cart_item                           | modify_date
 oms_cart_item                           | price
 oms_cart_item                           | product_attr
 oms_cart_item                           | product_brand
 oms_cart_item                           | product_category_id
 oms_cart_item                           | product_id
 oms_cart_item                           | product_name
 oms_cart_item                           | product_pic
 oms_cart_item                           | product_sku_code
 oms_cart_item                           | product_sku_id
 oms_cart_item                           | product_sn
 oms_cart_item                           | product_sub_title
 oms_cart_item                           | quantity
 oms_company_address                     | address_name
 oms_company_address                     | city
 oms_company_address                     | detail_address
 oms_company_address                     | id
 oms_company_address                     | name
 oms_company_address                     | phone
 oms_company_address                     | province
 oms_company_address                     | receive_status
 oms_company_address                     | region
 oms_company_address                     | send_status
 oms_order                               | auto_confirm_day
 oms_order                               | bill_content
 oms_order                               | bill_header
 oms_order                               | bill_receiver_email
 oms_order                               | bill_receiver_phone
 oms_order                               | bill_type
 oms_order                               | comment_time
 oms_order                               | confirm_status
 oms_order                               | coupon_amount
 oms_order                               | coupon_id
 oms_order                               | create_time
 oms_order                               | delete_status
 oms_order                               | delivery_company
 oms_order                               | delivery_sn
 oms_order                               | delivery_time
 oms_order                               | discount_amount
 oms_order                               | freight_amount
 oms_order                               | growth
 oms_order                               | id
 oms_order                               | integration
 oms_order                               | integration_amount
 oms_order                               | member_id
 oms_order                               | member_username
 oms_order                               | modify_time
 oms_order                               | note
 oms_order                               | order_sn
 oms_order                               | order_type
 oms_order                               | pay_amount
 oms_order                               | pay_type
 oms_order                               | payment_id
 oms_order                               | payment_time
 oms_order                               | promotion_amount
 oms_order                               | promotion_info
 oms_order                               | receive_time
 oms_order                               | receiver_city
 oms_order                               | receiver_detail_address
 oms_order                               | receiver_name
 oms_order                               | receiver_phone
 oms_order                               | receiver_post_code
 oms_order                               | receiver_province
 oms_order                               | receiver_region
 oms_order                               | source_type
 oms_order                               | status
 oms_order                               | total_amount
 oms_order                               | use_integration
 oms_order                               | vendor_id
 oms_order_item                          | coupon_amount
 oms_order_item                          | gift_growth
 oms_order_item                          | gift_integration
 oms_order_item                          | id
 oms_order_item                          | integration_amount
 oms_order_item                          | order_id
 oms_order_item                          | order_sn
 oms_order_item                          | product_attr
 oms_order_item                          | product_brand
 oms_order_item                          | product_category_id
 oms_order_item                          | product_id
 oms_order_item                          | product_name
 oms_order_item                          | product_pic
 oms_order_item                          | product_price
 oms_order_item                          | product_quantity
 oms_order_item                          | product_sku_code
 oms_order_item                          | product_sku_id
 oms_order_item                          | product_sn
 oms_order_item                          | promotion_amount
 oms_order_item                          | promotion_name
 oms_order_item                          | real_amount
 oms_order_operate_history               | create_time
 oms_order_operate_history               | id
 oms_order_operate_history               | note
 oms_order_operate_history               | operate_man
 oms_order_operate_history               | order_id
 oms_order_operate_history               | order_status
 oms_order_return_apply                  | company_address_id
 oms_order_return_apply                  | create_time
 oms_order_return_apply                  | description
 oms_order_return_apply                  | handle_man
 oms_order_return_apply                  | handle_note
 oms_order_return_apply                  | handle_time
 oms_order_return_apply                  | id
 oms_order_return_apply                  | member_username
 oms_order_return_apply                  | order_id
 oms_order_return_apply                  | order_sn
 oms_order_return_apply                  | product_attr
 oms_order_return_apply                  | product_brand
 oms_order_return_apply                  | product_count
 oms_order_return_apply                  | product_id
 oms_order_return_apply                  | product_name
 oms_order_return_apply                  | product_pic
 oms_order_return_apply                  | product_price
 oms_order_return_apply                  | product_real_price
 oms_order_return_apply                  | proof_pics
 oms_order_return_apply                  | reason
 oms_order_return_apply                  | receive_man
 oms_order_return_apply                  | receive_note
 oms_order_return_apply                  | receive_time
 oms_order_return_apply                  | return_amount
 oms_order_return_apply                  | return_name
 oms_order_return_apply                  | return_phone
 oms_order_return_apply                  | status
 oms_order_return_reason                 | create_time
 oms_order_return_reason                 | id
 oms_order_return_reason                 | name
 oms_order_return_reason                 | sort
 oms_order_return_reason                 | status
 oms_order_setting                       | comment_overtime
 oms_order_setting                       | confirm_overtime
 oms_order_setting                       | finish_overtime
 oms_order_setting                       | flash_order_overtime
 oms_order_setting                       | id
 oms_order_setting                       | normal_order_overtime
 outbox_event                            | aggregate_id
 outbox_event                            | aggregate_type
 outbox_event                            | created_at
 outbox_event                            | id
 outbox_event                            | payload
